Cueanexo,Nombre,Código de departamento,Ámbito,Sector
20007900,COLEGIO Nº 13 CNEL.DE MARINA TOMAS ESPORA DE 18,02000,Urbano,Estatal
20008200,INST MARIA BIANCHI DE COPELLO,02000,Urbano,Privado
20008300,COLEGIO SAGRADA FAMILIA,02000,Urbano,Privado
20008400,JIC Nº 01 REPUBLICA ARGENTINA DE 18,02000,Urbano,Estatal
20008500,GENDARMERIA NACIONAL,02000,Urbano,Estatal
20008600,CASIMIRO AURELIANO MACIEL,02000,Urbano,Estatal
20008900,PRESBITERO ALBERTI,02000,Urbano,Estatal
20009000,JOSE MARTI,02000,Urbano,Estatal
20009100,COLEGIO PARR. NTRA SRA DE LA ANUNCIACION,02000,Urbano,Privado
20009500,INSTITUTO DIVINO CORAZON,02000,Urbano,Privado
20009700,JIC N° 04 DE 18,02000,Urbano,Estatal
20009800,INSTITUTO EDUCACIONAL DUAYEN,02000,Urbano,Privado
20009801,INSTITUTO EDUCACIONAL DUAYEN,02000,Urbano,Privado
20009900,INSTITUTO SAN VICENTE PALLOTTI,02000,Urbano,Privado
20010000,CENTRO EDUCATIVO SAN FRANCISCO JAVIER,02000,Urbano,Privado
20010200,INSTITUTO CANTO A LA VIDA,02000,Urbano,Privado
20010201,INSTITUTO CANTO A LA VIDA,02000,Urbano,Privado
20010300,HOMERO MANZI,02000,Urbano,Estatal
20010400,INSTITUTO MARIA AUXILIADORA,02000,Urbano,Privado
20011000,REPUBLICA FRANCESA,02000,Urbano,Estatal
20011100,CARLOS MOREL,02000,Urbano,Estatal
20011200,REPUBLICA DE COREA,02000,Urbano,Estatal
20011300,REPUBLICA ISLAMICA DE PAKISTAN,02000,Urbano,Estatal
20011400,INSTITUTO MONSEÑOR SABELLI,02000,Urbano,Privado
20011500,ESCUELA CRISTIANA DE LA PUERTA ABIERTA,02000,Urbano,Privado
20011600,NUEVOS AIRES,02000,Urbano,Privado
20011700,JII N° 01 DE 11,02000,Urbano,Estatal
20011800,INSTITUTO COMUNIDAD FILII DEI,02000,Urbano,Privado
20012000,GENERAL JOSE SAN MARTIN,02000,Urbano,Estatal
20012100,FRENCH Y BERUTI,02000,Urbano,Estatal
20012300,COLEGIO DE LOS NIÑOS,02000,Urbano,Privado
20012301,COLEGIO DE LOS NIÑOS,02000,Urbano,Privado
20012500,AMAPOLA,02000,Urbano,Privado
20012600,INSTITUTO ESPAÑOL VIRGEN DEL PILAR,02000,Urbano,Privado
20012700,INSTITUTO SANTA MARIA DE LUJAN,02000,Urbano,Privado
20012800,PROVINCIA DE CORDOBA,02000,Urbano,Estatal
20012900,ESCUELA TECNICA PHILIPS ARGENTINA,02000,Urbano,Privado
20013000,DR. ENRIQUE M. MOSCA,02000,Urbano,Estatal
20013500,CARLOS SAAVEDRA LAMAS,02000,Urbano,Estatal
20013600,MARTIN DEL BARCO CENTENERA,02000,Urbano,Estatal
20013800,INSTITUTO SANTA CLARA DE ASIS,02000,Urbano,Privado
20013900,JUAN B. PEÑA,02000,Urbano,Estatal
20014000,LEOPOLDO MARECHAL,02000,Urbano,Estatal
20014100,FLORIAN OLIVER,02000,Urbano,Estatal
20014200,INST. MATER DOLOROSA,02000,Urbano,Privado
20014300,COLEGIO Nº 19 LUIS PASTEUR DE 17,02000,Urbano,Estatal
20014400,JARDIN CUENTACUENTOS,02000,Urbano,Privado
20014500,COLEGIO PRESENCIA,02000,Urbano,Privado
20014600,ESCUELA PARROQUIAL LA PIEDAD,02000,Urbano,Privado
20015000,INSTITUTO NUESTRA SEÑORA DE LUJAN,02000,Urbano,Privado
